timestamp,y_true,yhat,error,z_score,flag_z,label
2017-03-09 03:00:00+00:00,50202.0,49740.98864072803,461.01135927197174,0.1395544023699262,0,0
2017-03-09 01:00:00+00:00,48645.0,48455.561886562646,189.43811343735433,-0.073628843397366,0,0
2017-03-23 06:00:00+00:00,65361.0,63832.83550430253,1528.1644956974706,0.9225932237045994,0,0
2017-04-06 13:00:00+00:00,64218.0,63556.09663682833,661.9033631716666,0.0392788687874806,0,0
2017-03-23 08:00:00+00:00,67806.0,67207.99311341778,598.006886582225,0.2141897467312881,0,0
2017-03-08 22:00:00+00:00,55067.0,55235.1918341761,-168.19183417609747,-0.3506745805413787,0,0
2017-03-22 22:00:00+00:00,53661.0,53801.5646190616,-140.56461906160257,-0.3701769813074123,0,0
2017-03-23 16:00:00+00:00,64877.0,65673.57610151553,-796.5761015155294,-0.8498408477716594,0,0
2017-03-23 05:00:00+00:00,60092.0,59024.3102680063,1067.689731993698,0.577306726828901,0,0
2017-04-06 18:00:00+00:00,63438.0,62795.198981335285,642.8010186647152,0.0234695592683309,0,0
2017-04-06 19:00:00+00:00,60496.0,59382.56131034997,1113.4386896500291,0.3284794240493445,0,0
2017-04-06 11:00:00+00:00,67445.0,66098.63919511136,1346.360804888638,0.4798598427845519,0,0
2017-04-06 10:00:00+00:00,68295.0,67202.78661284452,1092.2133871554834,0.3180148378535543,0,0
2017-03-23 15:00:00+00:00,64608.0,65077.660612139895,-469.6606121398945,-0.6007291283479663,0,0
2017-04-06 21:00:00+00:00,51713.0,51762.87811685987,-49.878116859872534,-0.4277406324100285,0,0
2017-03-09 18:00:00+00:00,70654.0,69926.24034158235,727.7596584176499,0.2224244346631681,0,0
2017-03-16 09:00:00+00:00,67766.0,68095.19153387549,-329.1915338754916,-0.5670817698029285,0,0
2017-03-23 09:00:00+00:00,68874.0,68500.9164317408,373.08356825920055,0.0429247959141988,0,0
2017-03-09 16:00:00+00:00,67874.0,67359.29537315025,514.7046268497506,0.0626489948261617,0,0
2017-03-23 20:00:00+00:00,60673.0,61135.72639431626,-462.7263943162616,-0.5806511166452225,0,0
2017-03-30 21:00:00+00:00,50568.0,50637.918643509285,-69.91864350928518,-0.3921056507835931,0,0
2017-03-09 20:00:00+00:00,63626.0,63114.48410716807,511.5158928319288,0.0616669424186754,0,0
2017-03-30 18:00:00+00:00,63264.0,61482.67177896419,1781.3282210358084,0.7818051641662085,0,0
2017-04-05 23:00:00+00:00,46559.0,45615.82932731448,943.1706726855192,0.2510995465624454,0,0
2017-04-06 03:00:00+00:00,51113.0,49829.645680273454,1283.3543197265462,0.4658808240224177,0,0
2017-04-06 09:00:00+00:00,69403.0,67292.18800154791,2110.811998452089,0.970502316480656,0,0
2017-03-16 00:00:00+00:00,47096.0,47611.14191572797,-515.141915727967,-0.6959832905575761,0,0
2017-03-16 14:00:00+00:00,63802.0,64411.3749474317,-609.374947431701,-0.7539198430544178,0,0
2017-03-30 05:00:00+00:00,63980.0,57272.55380845021,6707.446191549789,4.318535636639271,1,1
2017-03-09 14:00:00+00:00,68013.0,66399.48274224252,1613.517257757485,0.8727976920105853,0,0
2017-03-30 19:00:00+00:00,59424.0,57778.94181639145,1645.0581836085476,0.6937015203035142,0,0
2017-03-23 14:00:00+00:00,66097.0,66062.64751758688,34.35248241311638,-0.2141277939739023,0,0
2017-03-09 21:00:00+00:00,60026.0,60577.26689037715,-551.2668903771482,-0.7272290907706606,0,0
2017-03-09 15:00:00+00:00,67296.0,66097.7787935446,1198.2212064554042,0.5657628877570279,0,0
2017-04-06 02:00:00+00:00,47873.0,46707.948788420246,1165.0512115797535,0.3911628253733673,0,0
2017-03-30 04:00:00+00:00,58850.0,52011.42028950791,6838.579710492093,4.594377863463503,1,1
2017-03-16 06:00:00+00:00,64630.0,62939.225026574975,1690.7749734250249,0.9627420908081056,0,0
2017-03-09 02:00:00+00:00,48958.0,48749.16831865941,208.83168134059088,-0.0582602665191274,0,0
2017-03-30 20:00:00+00:00,55268.0,54375.93310459803,892.0668954019711,0.2168274542885456,0,0
2017-03-16 03:00:00+00:00,48945.0,48799.60905306311,145.3909469368882,-0.195837414290588,0,0
2017-03-23 10:00:00+00:00,69685.0,69820.17109415832,-135.1710941583151,-0.3438797014063451,0,0
2017-04-06 15:00:00+00:00,63114.0,61984.27096248163,1129.729037518373,0.3390906689535709,0,0
2017-03-23 21:00:00+00:00,57486.0,58426.66682448049,-940.6668244804896,-0.9465205897098646,0,0
2017-03-16 18:00:00+00:00,67623.0,67354.00441092158,268.99558907841856,-0.068997925633433,0,0
2017-03-09 17:00:00+00:00,69894.0,70168.53054281123,-274.5305428112333,-0.5178979099799941,0,0
2017-04-06 20:00:00+00:00,56426.0,55959.750799112546,466.2492008874542,-0.0923219846350798,0,0
2017-03-23 04:00:00+00:00,52732.0,52911.61264464375,-179.61264464374835,-0.3651867215640259,0,0
2017-03-23 18:00:00+00:00,68426.0,68823.98128581865,-397.9812858186488,-0.5322933540016744,0,0
2017-03-16 01:00:00+00:00,46446.0,46875.7201024584,-429.7201024583992,-0.6296628917598857,0,0
2017-03-16 02:00:00+00:00,47455.0,47499.82287938312,-44.8228793831222,-0.3395640248229055,0,0
2017-03-16 19:00:00+00:00,63627.0,63661.10476716724,-34.104767167242244,-0.2983572139762426,0,0
2017-03-23 12:00:00+00:00,68988.0,68460.02616757614,527.973832423857,0.1643375888488614,0,0
2017-02-02 19:00:00+00:00,67965.0,67128.13458760106,836.86541239894,,0,0
2017-03-16 13:00:00+00:00,64741.0,65428.07341523189,-687.073415231891,-0.8157598579669101,0,0
2017-03-15 22:00:00+00:00,52837.0,52864.170353009526,-27.17035300952557,-0.335314414621732,0,0
2017-01-19 07:00:00+00:00,73435.0,70576.7636709122,2858.2363290877984,,0,0
2017-02-23 05:00:00+00:00,62176.0,59210.62290667948,2965.3770933205233,,0,0
2017-02-16 11:00:00+00:00,70576.0,70863.46798336956,-287.46798336955544,,0,0
2017-04-06 06:00:00+00:00,66010.0,64109.0031707575,1900.9968292424965,0.8487880400356523,0,0
2017-02-09 19:00:00+00:00,68922.0,68549.67095984402,372.3290401559789,,0,0
2017-03-02 04:00:00+00:00,56193.0,55615.43852494221,577.5614750577879,,0,0
2017-01-19 13:00:00+00:00,71125.0,70222.62707177148,902.3729282285204,,0,0
2017-04-06 01:00:00+00:00,46090.0,45365.42375046437,724.5762495356321,0.1103387172566355,0,0
2017-02-02 05:00:00+00:00,63004.0,61053.58644601596,1950.413553984043,,0,0
2017-03-16 16:00:00+00:00,62519.0,63847.798279728464,-1328.798279728464,-1.2902777324876182,0,0
2017-01-26 04:00:00+00:00,57396.0,57243.89860697147,152.1013930285335,,0,0
2017-03-30 16:00:00+00:00,62502.0,59918.89052660816,2583.1094733918435,1.2928317857255582,0,0
2017-03-02 02:00:00+00:00,52080.0,51765.38656544603,314.61343455396855,,0,0
2017-01-19 17:00:00+00:00,74542.0,73491.70372810264,1050.2962718973577,,0,0
2017-02-16 14:00:00+00:00,68215.0,67229.02961199745,985.970388002548,,0,0
2017-04-06 04:00:00+00:00,58895.0,56644.31989164192,2250.6801083580795,1.0819621516912428,0,0
2017-01-25 22:00:00+00:00,59673.0,59965.48622264814,-292.48622264814185,,0,0
2017-04-06 00:00:00+00:00,45825.0,44675.63438959489,1149.3656104051115,0.3816765782539392,0,0
2017-01-19 08:00:00+00:00,73365.0,71510.94057983151,1854.0594201684871,,0,0
2017-02-09 21:00:00+00:00,63279.0,63459.821984545015,-180.82198454501489,,0,0
2017-03-02 10:00:00+00:00,72811.0,75263.28712289165,-2452.2871228916483,,0,0
2017-03-23 17:00:00+00:00,66138.0,67879.67172793928,-1741.671727939276,-1.5678497627506838,0,0
2017-01-25 23:00:00+00:00,56854.0,57096.181303455814,-242.1813034558145,,0,0
2017-02-09 12:00:00+00:00,72567.0,71587.00752597759,979.9924740224088,,0,0
2017-03-16 05:00:00+00:00,59695.0,58119.461860794785,1575.538139205215,0.8801647444423717,0,0
2017-02-09 10:00:00+00:00,73703.0,72931.2099252808,771.7900747192034,,0,0
2017-01-19 16:00:00+00:00,73810.0,73366.55791355566,443.4420864443382,,0,0
2017-03-02 01:00:00+00:00,51831.0,51199.06401826434,631.9359817356599,,0,0
2017-02-02 16:00:00+00:00,71446.0,71473.81875673783,-27.81875673783361,,0,0
2017-01-26 19:00:00+00:00,69511.0,70394.35130014333,-883.3513001433312,,0,0
2017-02-23 18:00:00+00:00,72151.0,71529.37456999044,621.6254300095607,,0,0
2017-02-23 03:00:00+00:00,51382.0,50275.729472577514,1106.2705274224863,,0,0
2017-03-09 05:00:00+00:00,61463.0,58198.06579480458,3264.9342051954227,2.3008723302810457,0,0
2017-03-02 19:00:00+00:00,66448.0,68357.91497887585,-1909.9149788758511,,0,0
2017-01-19 14:00:00+00:00,70611.0,69705.4055900566,905.5944099433982,,0,0
2017-03-30 03:00:00+00:00,50643.0,45883.11196134995,4759.888038650053,3.274114561543912,1,1
2017-03-09 12:00:00+00:00,70207.0,67575.57831761766,2631.421682382337,1.637529705369748,0,0
2017-03-02 16:00:00+00:00,68638.0,71068.53749284986,-2430.537492849864,,0,0
2017-03-02 15:00:00+00:00,67710.0,70126.92499222643,-2416.924992226428,,0,0
2017-02-23 02:00:00+00:00,49700.0,49623.60048762735,76.39951237264904,,0,0
2017-02-02 10:00:00+00:00,72852.0,71189.17813816735,1662.82186183265,,0,0
2017-03-23 03:00:00+00:00,48916.0,49965.181246346045,-1049.1812463460446,-1.0230977005498998,0,0
2017-04-06 08:00:00+00:00,68491.0,66106.42755814084,2384.572441859156,1.149110575020606,0,0
2017-02-09 08:00:00+00:00,72470.0,71020.7920049245,1449.2079950754996,,0,0
2017-02-16 19:00:00+00:00,67362.0,66561.17291877048,800.8270812295232,,0,0
